 2007-11-12 오전 9:40:23	새 로그파일 생성>>
 2007-11-12 오전 9:40:23	프로그램 시작 >> Program Start
 2007-11-12 오전 9:40:53	물품입고 >>     입고물품(감자깡), 입고수량(6 EA), 입고금액(3000 \)
 2007-11-12 오전 9:40:53	물품입고 >>     입고물품(양파깡), 입고수량(6 EA), 입고금액(3000 \)
 2007-11-12 오전 9:40:53	물품입고 >>     입고물품(포테토스틱), 입고수량(111 EA), 입고금액(55500 \)
 2007-11-12 오전 9:40:53	물품입고 >>     입고물품(양파링), 입고수량(6 EA), 입고금액(3000 \)
 2007-11-12 오전 9:41:20	물품판매 >>     판매물품(감자깡), 판매수량(1 EA), 판매금액(500 \)
 2007-11-12 오전 9:41:20	물품판매 >>     판매물품(새우깡), 판매수량(1 EA), 판매금액(600 \)
 2007-11-12 오전 9:41:20	물품판매 >>     판매물품(양파링), 판매수량(1 EA), 판매금액(500 \)
 2007-11-12 오전 9:41:20	물품판매 >>     판매물품(양파깡), 판매수량(1 EA), 판매금액(500 \)
 2007-11-12 오전 9:41:20	물품판매 >>     판매물품(포테토스틱), 판매수량(12 EA), 판매금액(6000 \)
 2007-11-12 오전 9:41:39	물품판매 >>     판매물품(새우깡), 판매수량(1 EA), 판매금액(600 \)
 2007-11-12 오전 9:41:39	물품판매 >>     판매물품(감자깡), 판매수량(2 EA), 판매금액(1000 \)
 2007-11-12 오전 9:41:39	물품판매 >>     판매물품(포테토스틱), 판매수량(24 EA), 판매금액(12000 \)
 2007-11-12 오전 9:41:39	물품판매 >>     판매물품(양파깡), 판매수량(4 EA), 판매금액(2000 \)
 2007-11-12 오전 9:41:39	물품판매 >>     판매물품(양파링), 판매수량(4 EA), 판매금액(2000 \)
 2007-11-12 오전 9:42:13	물품판매 >>     판매물품(감자깡), 판매수량(1 EA), 판매금액(500 \)
 2007-11-12 오전 9:42:13	물품판매 >>     판매물품(양파깡), 판매수량(1 EA), 판매금액(500 \)
 2007-11-12 오전 9:42:13	물품판매 >>     판매물품(양파링), 판매수량(1 EA), 판매금액(500 \)
 2007-11-12 오전 9:42:13	물품판매 >>     판매물품(포테토스틱), 판매수량(25 EA), 판매금액(12500 \)
 2007-11-12 오전 9:42:22	물품판매 >>     판매물품(포테토스틱), 판매수량(25 EA), 판매금액(12500 \)
 2007-11-12 오전 9:42:22	물품판매 >>     판매물품(새우깡), 판매수량(25 EA), 판매금액(15000 \)
 2007-11-12 오전 9:42:40	물품판매 >>     판매물품(포테토스틱), 판매수량(25 EA), 판매금액(12500 \)
 2007-11-12 오전 9:42:40	물품판매 >>     판매물품(새우깡), 판매수량(25 EA), 판매금액(15000 \)
 2007-11-12 오전 9:43:15	정산 >>     코드(102), 수익(307700 \), 영업시작(2007-10-23 오후 5:09:19), 정산시각(2007-11-12 오전 9:43:15)
 2007-11-12 오전 9:52:26	프로그램 비정상적인 종료 >>
 2007-11-12 오전 9:52:26	프로그램 재시작 >> Program Start
 2007-11-12 오전 9:52:28	정산 >>     코드(102), 수익(0 \), 영업시작(2007-10-23 오후 5:09:19), 정산시각(2007-11-12 오전 9:52:28)
 2007-11-12 오전 9:56:14	프로그램 비정상적인 종료 >>
 2007-11-12 오전 9:56:14	프로그램 재시작 >> Program Start
 2007-11-12 오전 9:56:16	정산 >>     코드(102), 수익(0 \), 영업시작(2007-10-23 오후 5:09:19), 정산시각(2007-11-12 오전 9:56:16)
 2007-11-12 오후 8:48:13	프로그램 비정상적인 종료 >>
 2007-11-12 오후 8:48:13	프로그램 재시작 >> Program Start
 2007-11-12 오후 8:48:20	정산 >>     코드(102), 수익(0 \), 영업시작(2007-10-23 오후 5:09:19), 정산시각(2007-11-12 오후 8:48:20)
 2007-11-12 오후 10:51:18	프로그램 비정상적인 종료 >>
 2007-11-12 오후 10:51:18	프로그램 재시작 >> Program Start
 2007-11-12 오후 10:52:15	프로그램 비정상적인 종료 >>
 2007-11-12 오후 10:52:15	프로그램 재시작 >> Program Start
 2007-11-12 오후 10:57:02	프로그램 비정상적인 종료 >>
 2007-11-12 오후 10:57:02	프로그램 재시작 >> Program Start
 2007-11-12 오후 10:58:49	프로그램 비정상적인 종료 >>
 2007-11-12 오후 10:58:49	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:02:56	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:02:56	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:05:27	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:05:27	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:07:04	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:07:04	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:08:54	정산 >>     코드(102), 수익(0 \), 영업시작(2007-10-23 오후 5:09:19), 정산시각(2007-11-12 오후 11:08:54)
 2007-11-12 오후 11:28:58	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:28:58	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:30:32	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:30:32	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:32:42	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:32:42	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:45:37	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:45:37	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:45:59	프로그램 비정상적인 종료 >>
 2007-11-12 오후 11:45:59	프로그램 재시작 >> Program Start
 2007-11-12 오후 11:46:18	프로그램 종료 >> Program End
 2007-11-12 오후 11:46:20	프로그램 시작 >> Program Start

