 2007-11-16 오후 4:48:36	새 로그파일 생성>>
 2007-11-16 오후 4:48:36	프로그램 시작 >> Program Start
 2007-11-16 오후 4:49:24	프로그램 비정상적인 종료 >>
 2007-11-16 오후 4:49:24	프로그램 재시작 >> Program Start
 2007-11-16 오후 4:49:30	물품입고 >>     입고물품(새우깡), 입고수량(1 EA), 입고금액(600 \)
 2007-11-16 오후 4:49:40	프로그램 비정상적인 종료 >>
 2007-11-16 오후 4:49:40	프로그램 재시작 >> Program Start
 2007-11-16 오후 5:23:47	손실등록 >>     손실물품(감자깡), 손실수량(567 EA), 손실금액(283500 \)
 2007-11-16 오후 5:23:47	손실등록 >>     손실물품(새우깡), 손실수량(72 EA), 손실금액(43200 \)
 2007-11-16 오후 5:26:10	손실등록 >>     손실물품(감자깡), 손실수량(77 EA), 손실금액(38500 \)
 2007-11-16 오후 5:27:09	프로그램 종료 >> Program End
 2007-11-16 오후 5:27:22	프로그램 시작 >> Program Start
 2007-11-16 오후 5:27:24	프로그램 종료 >> Program End
 2007-11-16 오후 6:20:01	프로그램 시작 >> Program Start
 2007-11-16 오후 6:45:04	프로그램 종료 >> Program End
 2007-11-16 오후 6:45:09	프로그램 시작 >> Program Start
 2007-11-16 오후 6:49:51	손실등록 >>     손실물품(양파깡), 손실수량(4 EA), 손실금액(2000 \)
 2007-11-16 오후 6:51:25	프로그램 종료 >> Program End
 2007-11-16 오후 6:51:29	프로그램 시작 >> Program Start
 2007-11-16 오후 6:51:32	프로그램 종료 >> Program End
 2007-11-16 오후 6:51:35	프로그램 시작 >> Program Start
 2007-11-16 오후 9:09:35	프로그램 종료 >> Program End
 2007-11-16 오후 9:09:39	프로그램 시작 >> Program Start
 2007-11-16 오후 10:00:17	프로그램 종료 >> Program End
 2007-11-16 오후 11:02:19	프로그램 시작 >> Program Start
 2007-11-16 오후 11:19:01	프로그램 종료 >> Program End
 2007-11-16 오후 11:25:11	프로그램 시작 >> Program Start
 2007-11-16 오후 11:31:04	프로그램 종료 >> Program End
 2007-11-16 오후 11:56:07	프로그램 시작 >> Program Start
 2007-11-16 오후 11:56:28	프로그램 종료 >> Program End
 2007-11-16 오후 11:56:48	프로그램 시작 >> Program Start
 2007-11-16 오후 11:57:03	프로그램 종료 >> Program End
 2007-11-16 오후 11:57:16	프로그램 시작 >> Program Start

